Date,Location,temp,conditions,precipprob,windspeed
2025-12-04,"Phoenix, AZ",55.4,Clear,0,8.5
2025-12-05,"Phoenix, AZ",53.5,Clear,0,2.2
2025-12-06,"Phoenix, AZ",54.8,Clear,0,2.2
2025-12-07,"Phoenix, AZ",57.3,Clear,1,1.8
2025-12-08,"Phoenix, AZ",59.6,Clear,0,2.7
